iter,gate,n_groups,n_groups_cut,n_zero_variance,n_train_items,loss,grad_norm,rewards_mean,rewards_max,rollout_secs,train_secs,save_secs,iter_secs,cumulative_wall_clock_sec,seed,arm,zv_rate,cut_rate,recall_per_iter,dilution_pct
22,off,10,0,6,96,-0.015242645342368633,0.07469993084669113,0.3375,1.0,314.9633092880249,10.893803358078003,0.8717763423919678,326.7468717098236,6182.466256141663,7,baseline,0.6,0.0,,60.0
23,off,10,0,3,96,-0.0032741085524321534,0.1654338836669922,0.45,1.0,295.45011043548584,10.644881963729858,0.8564751148223877,306.9677529335022,6489.434009075165,7,baseline,0.3,0.0,,30.0
24,off,10,0,3,96,0.016859493359106636,0.11039792746305466,0.625,1.0,265.86604380607605,13.369275093078613,0.8701097965240479,280.12004804611206,6769.554057121277,7,baseline,0.3,0.0,,30.0
25,off,10,0,5,96,0.02405623596860096,0.07424663007259369,0.3,1.0,309.19163942337036,10.427126169204712,0.8389756679534912,320.472549200058,7090.026606321335,7,baseline,0.5,0.0,,50.0
26,off,10,0,3,96,0.0024746983544901013,0.12942467629909515,0.3125,1.0,300.0098645687103,13.623582363128662,0.8704013824462891,314.51976895332336,7404.546375274658,7,baseline,0.3,0.0,,30.0
27,off,10,0,4,96,-0.07300116359692765,0.2606550455093384,0.725,1.0,227.18077397346497,16.47753071784973,0.8576023578643799,244.5319106578827,7649.078285932541,7,baseline,0.4,0.0,,40.0
28,off,10,0,1,96,-0.06009741181333084,0.17942185699939728,0.7125,1.0,277.55593180656433,14.074260950088501,1.0722336769104004,292.71608424186707,7941.794370174408,7,baseline,0.1,0.0,,10.0
29,off,10,0,4,96,-0.00017849827418103814,0.10514884442090988,0.4375,1.0,274.8816759586334,11.725398540496826,0.8666551113128662,287.48960304260254,8229.28397321701,7,baseline,0.4,0.0,,40.0
30,off,10,0,2,96,-0.015168577316217124,0.13609102368354797,0.5375,1.0,271.1651656627655,14.472793102264404,0.8800406455993652,286.5365414619446,8515.820514678955,7,baseline,0.2,0.0,,20.0
31,off,10,0,5,96,-0.019044565269723535,0.09814273566007614,0.3625,1.0,293.2291338443756,10.635602474212646,0.8705604076385498,304.7527379989624,8820.573252677917,7,baseline,0.5,0.0,,50.0
32,off,10,0,7,96,0.007823052612366155,0.04145218804478645,0.5,1.0,272.36698389053345,10.472973346710205,0.8426675796508789,283.6959443092346,9104.269196987152,7,baseline,0.7,0.0,,70.0
33,off,10,0,2,96,0.03267931938171387,0.1718810498714447,0.4125,1.0,295.5843243598938,9.964494705200195,0.852942943572998,306.41973423957825,9410.68893122673,7,baseline,0.2,0.0,,20.0
34,off,10,0,3,96,0.005521378857338277,0.07588605582714081,0.3375,1.0,291.29463624954224,10.951929092407227,0.8514008522033691,303.1139323711395,9713.80286359787,7,baseline,0.3,0.0,,30.0
35,off,10,0,4,96,9.541388425304831e-05,0.12398870289325714,0.4375,1.0,275.0671465396881,12.455855369567871,0.8477573394775391,288.3871262073517,10002.189989805222,7,baseline,0.4,0.0,,40.0
36,off,10,0,6,96,-0.001449793839128688,0.11447574198246002,0.475,1.0,286.8609890937805,13.059382200241089,0.8401014804840088,300.7750291824341,10302.965018987656,7,baseline,0.6,0.0,,60.0
37,off,10,0,3,96,0.024345011639525183,0.12707951664924622,0.625,1.0,248.44813585281372,13.822317123413086,0.8449831008911133,263.1324887275696,10566.097507715225,7,baseline,0.3,0.0,,30.0
38,off,10,0,2,96,-0.03262222188641317,0.12822309136390686,0.6625,1.0,296.9524772167206,12.32585096359253,0.8454170227050781,310.1382360458374,10876.235743761063,7,baseline,0.2,0.0,,20.0
39,off,10,0,2,96,-0.027406510740547674,0.19063962996006012,0.4625,1.0,272.8587155342102,13.657818794250488,0.8628230094909668,287.39508271217346,11163.630826473236,7,baseline,0.2,0.0,,20.0
40,off,10,0,3,96,-0.007616028746269876,0.09390930831432343,0.4875,1.0,314.83697605133057,11.407288551330566,0.84871506690979,327.10930037498474,11490.74012684822,7,baseline,0.3,0.0,,30.0
41,off,10,0,7,96,0.000366649852367118,0.040492694824934006,0.45,1.0,267.4053258895874,14.821190118789673,0.8513524532318115,283.0946183204651,11773.834745168686,7,baseline,0.7,0.0,,70.0
42,off,10,0,5,96,0.03472297330154106,0.21207082271575928,0.3875,1.0,251.82000994682312,11.621883153915405,0.8532509803771973,264.30887484550476,12038.14362001419,7,baseline,0.5,0.0,,50.0
43,off,10,0,2,96,-0.012469230836359202,0.16219814121723175,0.4375,1.0,303.79998326301575,12.417123556137085,0.8422729969024658,317.0772786140442,12355.220898628235,7,baseline,0.2,0.0,,20.0
44,off,10,0,4,96,0.015435906143466127,0.10702315717935562,0.5875,1.0,258.12632393836975,12.638788938522339,0.8369250297546387,271.6172592639923,12626.838157892227,7,baseline,0.4,0.0,,40.0
45,off,10,0,4,96,0.01338199817109853,0.21173696219921112,0.4875,1.0,251.65511655807495,12.812132596969604,0.8509330749511719,265.33362460136414,12892.171782493591,7,baseline,0.4,0.0,,40.0
46,off,10,0,5,96,-0.01699921424733475,0.06832648068666458,0.5875,1.0,235.9332835674286,11.238457441329956,0.8712124824523926,248.05940890312195,13140.231191396713,7,baseline,0.5,0.0,,50.0
47,off,10,0,3,96,0.022367215889971703,0.18580849468708038,0.6125,1.0,269.42864990234375,11.127721786499023,0.8438460826873779,281.4181098937988,13421.649301290512,7,baseline,0.3,0.0,,30.0
48,off,10,0,1,96,-0.008246702098404057,0.1584499627351761,0.4875,1.0,287.6628134250641,11.491758584976196,0.8443522453308105,300.0138187408447,13721.663120031357,7,baseline,0.1,0.0,,10.0
49,off,10,0,5,96,0.01139904055162333,0.11564818769693375,0.325,1.0,289.3851897716522,10.513050079345703,0.8632364273071289,300.77752923965454,14022.440649271011,7,baseline,0.5,0.0,,50.0
