iter,gate,n_groups,n_groups_cut,n_zero_variance,n_train_items,loss,grad_norm,rewards_mean,rewards_max,rollout_secs,train_secs,save_secs,iter_secs,cumulative_wall_clock_sec,seed,arm,zv_rate,cut_rate,recall_per_iter,dilution_pct
23,on,10,4,8,96,-0.017310808354523033,0.09463616460561752,0.475,1.0,188.97829794883728,17.60505986213684,0.7075417041778564,207.3122205734253,5611.221656560898,42,gated,0.6666666666666666,0.4,0.5,33.33333333333333
24,on,10,4,4,96,-0.0035906974567296857,0.1752048283815384,0.325,1.0,219.48574304580688,14.390617370605469,0.6921753883361816,234.59032106399536,5845.811977624893,42,gated,0.0,0.4,1.0,0.0
25,on,10,3,4,96,0.005336123445886187,0.10512477904558182,0.325,1.0,239.77151560783386,11.807178258895874,0.8044772148132324,252.40740489959717,6098.21938252449,42,gated,0.14285714285714285,0.3,0.75,8.333333333333332
26,on,10,2,6,96,0.012398943163816512,0.12186261266469955,0.6,1.0,194.1406271457672,12.306767463684082,0.695692777633667,207.16595315933228,6305.385335683823,42,gated,0.5,0.2,0.3333333333333333,33.33333333333333
27,on,10,2,6,96,-0.009406731755007058,0.1174725741147995,0.4375,1.0,210.88603353500366,12.541932821273804,0.7150914669036865,224.1636872291565,6529.549022912979,42,gated,0.5,0.2,0.3333333333333333,33.33333333333333
28,on,10,2,4,96,0.009791014512302354,0.1784132421016693,0.2875,1.0,256.9899299144745,10.22654128074646,0.8154811859130859,268.0566906929016,6797.605713605881,42,gated,0.25,0.2,0.5,16.666666666666664
29,on,10,2,5,96,-0.002756563771981746,0.08230724930763245,0.2,1.0,277.9164607524872,8.834052801132202,0.861100435256958,287.6374566555023,7085.243170261383,42,gated,0.375,0.2,0.4,25.0
30,on,10,3,6,96,0.020105960065848194,0.10508087277412415,0.375,1.0,210.30447101593018,13.291857957839966,0.7016303539276123,224.32183957099915,7309.565009832382,42,gated,0.42857142857142855,0.3,0.5,25.0
31,on,10,2,5,96,-0.033709972683041656,0.148642435669899,0.5375,1.0,245.0172417163849,12.9998197555542,0.7785248756408691,258.807986497879,7568.372996330261,42,gated,0.375,0.2,0.4,25.0
32,on,10,5,6,96,-0.006012265604226741,0.11887717992067337,0.25,1.0,207.4172842502594,9.95240044593811,0.695831298828125,218.0897102355957,7786.462706565857,42,gated,0.2,0.5,0.8333333333333334,8.333333333333332
33,on,10,1,4,96,-0.004373430158011615,0.15095245838165283,0.5125,1.0,255.91576051712036,12.452901124954224,0.7941446304321289,269.183562040329,8055.646268606186,42,gated,0.3333333333333333,0.1,0.25,25.0
34,on,10,1,4,96,0.0005423095135483891,0.1347639113664627,0.625,1.0,207.44441723823547,15.34598994255066,0.7076373100280762,223.51649808883667,8279.162766695023,42,gated,0.3333333333333333,0.1,0.25,25.0
35,on,10,1,6,96,0.007138270710129291,0.09634356945753098,0.425,1.0,253.28476119041443,11.980790138244629,0.7970099449157715,266.0850043296814,8545.247771024704,42,gated,0.5555555555555556,0.1,0.16666666666666666,41.66666666666667
36,on,10,1,5,96,0.013141257482971014,0.18229664862155914,0.6625,1.0,197.7973508834839,14.662030458450317,0.7101891040802002,213.1909077167511,8758.438678741455,42,gated,0.4444444444444444,0.1,0.2,33.33333333333333
37,on,10,2,4,96,0.015835712401894853,0.11190609633922577,0.325,1.0,260.3619909286499,11.228001594543457,0.8047807216644287,272.416472196579,9030.855150938034,42,gated,0.25,0.2,0.5,16.666666666666664
38,on,10,2,4,96,-0.0023368179972749203,0.1390102654695511,0.4125,1.0,258.06476044654846,12.557171821594238,0.8047206401824951,271.4495780467987,9302.304728984833,42,gated,0.25,0.2,0.5,16.666666666666664
39,on,10,1,7,96,0.02671418705722317,0.08084985613822937,0.3625,1.0,283.65587735176086,11.299125671386719,0.8173022270202637,295.79663610458374,9598.101365089417,42,gated,0.6666666666666666,0.1,0.14285714285714285,50.0
40,on,10,4,4,96,0.016619279711449053,0.14982618391513824,0.25,1.0,231.8175082206726,14.343626260757446,0.8145601749420166,247.00086760520935,9845.102232694626,42,gated,0.0,0.4,1.0,0.0
41,on,10,2,6,96,-0.006835531807155348,0.2701021730899811,0.45,1.0,199.50906348228455,15.667074918746948,0.8730854988098145,216.0714635848999,10061.173696279526,42,gated,0.5,0.2,0.3333333333333333,33.33333333333333
42,on,10,2,5,96,-0.033719872328219935,0.3306664526462555,0.5875,1.0,212.53270173072815,14.801310062408447,0.7598156929016113,228.11521983146667,10289.288916110992,42,gated,0.375,0.2,0.4,25.0
43,on,10,3,4,96,-0.02019114507129416,0.12617170810699463,0.45,1.0,221.89200282096863,13.214924335479736,0.7316467761993408,235.86134433746338,10525.150260448456,42,gated,0.14285714285714285,0.3,0.75,8.333333333333332
44,on,10,3,6,96,-0.03636295649994281,0.21904270350933075,0.575,1.0,190.2285861968994,17.223546743392944,0.7120809555053711,208.18358635902405,10733.33384680748,42,gated,0.42857142857142855,0.3,0.5,25.0
45,on,10,1,5,96,0.013167744735255837,0.22739464044570923,0.4875,1.0,276.90084958076477,16.241326332092285,0.8628261089324951,294.030531167984,11027.364377975464,42,gated,0.4444444444444444,0.1,0.2,33.33333333333333
46,on,10,2,7,96,-0.013070854125544429,0.1456509679555893,0.4875,1.0,238.3868956565857,13.4593985080719,0.8913893699645996,252.7624933719635,11280.126871347427,42,gated,0.625,0.2,0.2857142857142857,41.66666666666667
47,on,10,1,3,96,0.0013816075467047995,0.12518158555030823,0.4375,1.0,273.9257447719574,13.05829405784607,0.9006688594818115,287.90852403640747,11568.035395383835,42,gated,0.2222222222222222,0.1,0.3333333333333333,16.666666666666664
48,on,10,2,5,96,-0.008328987343702465,0.1439438760280609,0.5625,1.0,240.28701162338257,11.820926666259766,0.8380916118621826,252.97096824645996,11821.006363630295,42,gated,0.375,0.2,0.4,25.0
49,on,10,2,6,96,0.011051719775423408,0.14665785431861877,0.4375,1.0,210.04040813446045,11.345408916473389,1.0507187843322754,222.4601755142212,12043.466539144516,42,gated,0.5,0.2,0.3333333333333333,33.33333333333333
50,on,10,3,7,96,-0.003416901599848643,0.09510007500648499,0.3125,1.0,224.71967029571533,11.179102659225464,0.7000260353088379,236.61998581886292,12280.086524963379,42,gated,0.5714285714285714,0.3,0.42857142857142855,33.33333333333333
51,on,10,1,5,96,0.015383416786789894,0.15808916091918945,0.375,1.0,270.3497338294983,11.105317831039429,0.8779525756835938,282.36099004745483,12562.447515010834,42,gated,0.4444444444444444,0.1,0.2,33.33333333333333
52,on,10,3,5,96,-0.04184082140272949,0.34986600279808044,0.475,1.0,232.00615048408508,11.942833662033081,0.842581033706665,244.81311774253845,12807.260632753372,42,gated,0.2857142857142857,0.3,0.6,16.666666666666664
53,on,10,1,3,96,0.013884766587580089,0.18868975341320038,0.675,1.0,239.54624915122986,17.46477770805359,0.8317146301269531,257.8635220527649,13065.124154806137,42,gated,0.2222222222222222,0.1,0.3333333333333333,16.666666666666664
54,on,10,4,6,96,0.006110499514761614,0.1023612916469574,0.1875,1.0,249.2672004699707,10.515485763549805,0.86397385597229,260.6693785190582,13325.793533325195,42,gated,0.3333333333333333,0.4,0.6666666666666666,16.666666666666664
55,on,10,1,4,96,0.025905067624989897,0.19583086669445038,0.6875,1.0,252.0424098968506,13.884335994720459,0.8596694469451904,266.8079307079315,13592.601464033127,42,gated,0.3333333333333333,0.1,0.25,25.0
56,on,10,2,6,96,0.028927013685461134,0.18030348420143127,0.4625,1.0,219.7670021057129,12.430254459381104,0.7156689167022705,232.93272995948792,13825.534193992615,42,gated,0.5,0.2,0.3333333333333333,33.33333333333333
57,on,10,4,7,96,0.02812244213419035,0.148986354470253,0.35,1.0,210.5171468257904,13.725427865982056,0.7609226703643799,225.02629947662354,14050.560493469238,42,gated,0.5,0.4,0.5714285714285714,25.0
58,on,10,1,5,96,-0.004435611539520323,0.10672836005687714,0.75,1.0,207.56286072731018,14.415817260742188,0.7392580509185791,222.7413284778595,14273.301821947098,42,gated,0.4444444444444444,0.1,0.2,33.33333333333333
59,on,10,1,5,96,-0.0037092854327056557,0.14391809701919556,0.6625,1.0,205.3129539489746,16.307087182998657,0.7026987075805664,222.33407402038574,14495.635895967484,42,gated,0.4444444444444444,0.1,0.2,33.33333333333333
60,on,10,2,6,96,0.02177466038847342,0.22363869845867157,0.2375,1.0,302.915310382843,10.492635726928711,0.8114252090454102,314.24656558036804,14809.882461547852,42,gated,0.5,0.2,0.3333333333333333,33.33333333333333
1,on,10,2,5,96,0.010775056944112293,0.11554042249917984,0.3625,1.0,249.28651762008667,11.166649341583252,0.8622431755065918,261.3387236595154,261.3387236595154,7,gated,0.375,0.2,0.4,25.0
2,on,10,1,4,96,-0.008397871628403664,0.21758507192134857,0.55,1.0,214.11315250396729,14.276228427886963,0.7488205432891846,229.1571638584137,490.4958875179291,7,gated,0.3333333333333333,0.1,0.25,25.0
3,on,10,1,6,96,0.008585166186094284,0.15813760459423065,0.35,1.0,254.42374730110168,8.740368366241455,0.8922197818756104,264.0786211490631,754.5745086669922,7,gated,0.5555555555555556,0.1,0.16666666666666666,41.66666666666667
4,on,10,1,4,96,-0.011854768759803846,0.09286116808652878,0.45,1.0,267.8725759983063,12.069092273712158,0.8790209293365479,280.8466417789459,1035.421150445938,7,gated,0.3333333333333333,0.1,0.25,25.0
5,on,10,3,7,96,-0.018576593458419666,0.07254742085933685,0.2875,1.0,225.2602734565735,11.296477794647217,0.7596485614776611,237.33023118972778,1272.751381635666,7,gated,0.5714285714285714,0.3,0.42857142857142855,33.33333333333333
6,on,10,2,7,96,-0.0034277176309842616,0.05579462647438049,0.3375,1.0,221.62496495246887,13.461112976074219,0.7523055076599121,235.86076474189758,1508.6121463775635,7,gated,0.625,0.2,0.2857142857142857,41.66666666666667
7,on,10,4,8,96,0.0009820114937610924,0.07151078432798386,0.3375,1.0,169.94405269622803,10.321274042129517,0.7915079593658447,181.0769772529602,1689.6891236305237,7,gated,0.6666666666666666,0.4,0.5,33.33333333333333
8,on,10,0,4,96,0.060513546981383115,0.19587989151477814,0.625,1.0,242.31456303596497,11.063464879989624,0.8970189094543457,254.29504585266113,1943.9841694831848,7,gated,0.4,0.0,0.0,33.33333333333333
9,on,10,1,3,96,-0.02904134540949599,0.1430458277463913,0.375,1.0,277.2802917957306,10.737867593765259,0.8639898300170898,288.9163587093353,2232.90052819252,7,gated,0.2222222222222222,0.1,0.3333333333333333,16.666666666666664
10,on,10,4,9,96,-0.007394209213089198,0.06989894807338715,0.2125,1.0,197.51368284225464,13.551676034927368,0.8182671070098877,211.90596723556519,2444.8064954280853,7,gated,0.8333333333333334,0.4,0.4444444444444444,41.66666666666667
11,on,10,0,4,96,-0.01819291422725655,0.09388887882232666,0.625,1.0,276.2953839302063,10.224747896194458,0.9045562744140625,287.4478495121002,2732.2543449401855,7,gated,0.4,0.0,0.0,33.33333333333333
12,on,10,2,5,96,0.05711864380145926,0.13066533207893372,0.5625,1.0,240.72848320007324,11.290635347366333,0.8970718383789062,252.9377703666687,2985.1921153068542,7,gated,0.375,0.2,0.4,25.0
13,on,10,0,4,96,-0.010336538893170655,0.08599423617124557,0.35,1.0,298.0902111530304,11.426979064941406,0.8694658279418945,310.40108013153076,3295.593195438385,7,gated,0.4,0.0,0.0,33.33333333333333
14,on,10,2,6,96,0.027647362323477864,0.14900989830493927,0.2625,1.0,267.30415058135986,12.04109811782837,0.9021091461181641,280.2755379676819,3575.868733406067,7,gated,0.5,0.2,0.3333333333333333,33.33333333333333
15,on,10,2,5,96,-0.05082835413486464,0.4211660325527191,0.475,1.0,216.06943035125732,12.648239135742188,0.7934467792510986,229.53072452545166,3805.3994579315186,7,gated,0.375,0.2,0.4,25.0
16,on,10,2,9,96,-0.001992436984437518,0.08638041466474533,0.1375,1.0,253.20761966705322,9.36899471282959,1.1189260482788086,263.7207016944885,4069.120159626007,7,gated,0.875,0.2,0.2222222222222222,58.333333333333336
17,on,10,2,4,96,-0.02556589723099023,0.22422057390213013,0.4125,1.0,237.53936314582825,12.884583473205566,1.1875953674316406,251.63406610488892,4320.754225730896,7,gated,0.25,0.2,0.5,16.666666666666664
18,on,10,1,3,96,-0.018790247006108984,0.1576005220413208,0.55,1.0,239.0802562236786,12.090949535369873,0.9028770923614502,252.08851981163025,4572.842745542526,7,gated,0.2222222222222222,0.1,0.3333333333333333,16.666666666666664
19,on,10,2,5,96,-0.02161578816594556,0.154868945479393,0.5,1.0,214.42253398895264,14.728667259216309,0.7587041854858398,229.9341914653778,4802.776937007904,7,gated,0.375,0.2,0.4,25.0
20,on,10,3,5,96,-0.012739135988283579,0.09138143807649612,0.3875,1.0,241.39915680885315,11.353464841842651,0.9122810363769531,253.68007612228394,5056.457013130188,7,gated,0.2857142857142857,0.3,0.6,16.666666666666664
21,on,10,2,5,96,0.024456479840409884,0.14492720365524292,0.625,1.0,203.73625874519348,14.580462455749512,0.8982923030853271,219.24000477790833,5275.697017908096,7,gated,0.375,0.2,0.4,25.0
22,on,10,2,5,96,-0.042450601744349115,0.24031566083431244,0.425,1.0,235.0745403766632,15.02487826347351,0.9331746101379395,251.05448484420776,5526.751502752304,7,gated,0.375,0.2,0.4,25.0
23,on,10,0,1,96,0.010120902312337421,0.0992116779088974,0.55,1.0,267.846360206604,11.040493488311768,0.9136531352996826,279.82587790489197,5806.577380657196,7,gated,0.1,0.0,0.0,8.333333333333332
