task_type,K,metric,n,spearman_rho,p_value,auroc_nonzero_var
pick_clean_then_place_in_recep,10,termination_fraction,18,-0.0368553719661007,0.8845632409391938,0.5230769230769231
pick_clean_then_place_in_recep,10,action_entropy,18,0.2705990990666961,0.2774532168693297,0.7230769230769231
pick_clean_then_place_in_recep,15,unique_action_ratio,18,-0.10374449946912595,0.6820552365947504,0.4230769230769231
pick_clean_then_place_in_recep,15,unique_prefix_ratio,18,0.013125552464079152,0.9587749083807116,0.4846153846153846
pick_clean_then_place_in_recep,15,action_bigram_jaccard_mean,18,0.2666024050144808,0.28488812367264804,0.6153846153846154
pick_clean_then_place_in_recep,15,prefix_edit_distance_mean,18,0.06133888668699848,0.8089483097661979,0.5615384615384615
pick_clean_then_place_in_recep,15,obs_unique_ratio,18,0.021329022754128627,0.9330533750871323,0.48461538461538456
pick_clean_then_place_in_recep,15,termination_fraction,18,0.45679127423845556,0.05669395289946769,0.7076923076923077
pick_clean_then_place_in_recep,15,action_entropy,18,-0.13130140774826735,0.6035306047321225,0.42307692307692313
pick_clean_then_place_in_recep,20,unique_action_ratio,18,-0.12592114752975542,0.6185727636355823,0.3538461538461538
pick_clean_then_place_in_recep,20,unique_prefix_ratio,18,-0.20179384878159135,0.42198197769638385,0.3923076923076923
pick_clean_then_place_in_recep,20,action_bigram_jaccard_mean,18,0.20747687164433387,0.408746270662405,0.5692307692307692
pick_clean_then_place_in_recep,20,prefix_edit_distance_mean,18,0.090885227958376,0.7198533739600135,0.523076923076923
pick_clean_then_place_in_recep,20,obs_unique_ratio,18,-0.26601588177831215,0.285989342835413,0.2769230769230769
pick_clean_then_place_in_recep,20,termination_fraction,18,0.31523035457811494,0.2025985741190419,0.7384615384615385
pick_clean_then_place_in_recep,20,action_entropy,18,-0.09011364572576826,0.7221421305410247,0.3769230769230769
pick_cool_then_place_in_recep,5,unique_action_ratio,19,0.2082656118128018,0.3922090143547134,0.5142857142857142
pick_cool_then_place_in_recep,5,unique_prefix_ratio,19,0.2809292224371589,0.24399503368191144,0.5499999999999999
pick_cool_then_place_in_recep,5,action_bigram_jaccard_mean,19,0.26572675425103087,0.2715239653807854,0.55
pick_cool_then_place_in_recep,5,prefix_edit_distance_mean,19,0.2605639467195439,0.2812947818722027,0.5071428571428571
pick_cool_then_place_in_recep,5,obs_unique_ratio,19,0.11829460511081205,0.629573044621091,0.4928571428571429
pick_cool_then_place_in_recep,5,termination_fraction,19,,,0.5
pick_cool_then_place_in_recep,5,action_entropy,19,0.18463395819628828,0.44922628991469027,0.4928571428571429
pick_cool_then_place_in_recep,10,unique_action_ratio,19,0.1760279349516364,0.47099786329416,0.4571428571428572
pick_cool_then_place_in_recep,10,unique_prefix_ratio,19,0.3523220483253558,0.1390339857580172,0.55
pick_cool_then_place_in_recep,10,action_bigram_jaccard_mean,19,0.23293735338138946,0.33720123125585777,0.5714285714285714
pick_cool_then_place_in_recep,10,prefix_edit_distance_mean,19,0.12844701598850755,0.600239066746054,0.4785714285714286
pick_cool_then_place_in_recep,10,obs_unique_ratio,19,0.21263514621165222,0.3821243217546426,0.5142857142857142
pick_cool_then_place_in_recep,10,termination_fraction,19,0.11697532308649726,0.6334254394256807,0.5714285714285714
pick_cool_then_place_in_recep,10,action_entropy,19,0.12095846313345017,0.6218223264157324,0.4428571428571429
pick_cool_then_place_in_recep,15,unique_action_ratio,19,-0.23602513025120359,0.330651413133359,0.2785714285714285
pick_cool_then_place_in_recep,15,unique_prefix_ratio,19,-0.16735340094234277,0.4934654468192299,0.35
pick_cool_then_place_in_recep,15,action_bigram_jaccard_mean,19,0.1678249435779302,0.49223089085603144,0.5285714285714286
pick_cool_then_place_in_recep,15,prefix_edit_distance_mean,19,0.07061486696994879,0.7739093503883497,0.4714285714285714
pick_cool_then_place_in_recep,15,obs_unique_ratio,19,-0.13480676188433113,0.5821554684875136,0.32857142857142857
pick_cool_then_place_in_recep,15,termination_fraction,19,0.6331214137834951,0.003617351552434922,0.7857142857142857
pick_cool_then_place_in_recep,15,action_entropy,19,-0.2688815212916287,0.2656587597742499,0.2785714285714285
pick_cool_then_place_in_recep,20,unique_action_ratio,19,-0.37378052273649426,0.11492686203503856,0.17857142857142855
pick_cool_then_place_in_recep,20,unique_prefix_ratio,19,-0.2205016117004828,0.3643379668116782,0.2714285714285714
pick_cool_then_place_in_recep,20,action_bigram_jaccard_mean,19,0.1393955815510677,0.5692530679289384,0.5
pick_cool_then_place_in_recep,20,prefix_edit_distance_mean,19,0.07978562891409798,0.7454192735829862,0.44285714285714284
pick_cool_then_place_in_recep,20,obs_unique_ratio,19,-0.3581365907767417,0.13218002227030043,0.23571428571428565
pick_cool_then_place_in_recep,20,termination_fraction,19,0.7296189000653285,0.00039199752883713033,0.8214285714285714
pick_cool_then_place_in_recep,20,action_entropy,19,-0.35345996168606425,0.1376735034796767,0.19285714285714284
pick_heat_then_place_in_recep,5,unique_action_ratio,11,0.0923076923076923,0.7872111466967361,0.6000000000000001
pick_heat_then_place_in_recep,5,unique_prefix_ratio,11,0.14754611536770484,0.6650651261175627,0.65
pick_heat_then_place_in_recep,5,action_bigram_jaccard_mean,11,-0.11129828515174545,0.7445844912031647,0.7
pick_heat_then_place_in_recep,5,prefix_edit_distance_mean,11,-0.10427805148112909,0.7602738112843833,0.7
pick_heat_then_place_in_recep,5,obs_unique_ratio,11,0.17048734283205327,0.6162393796273273,0.7
pick_heat_then_place_in_recep,5,termination_fraction,11,,,0.5
