task_id,label,wall_time_sec,step_tokens,rewards_mean,rewards_var,won,group_size,max_steps_cap,gate_cut
pick_and_place_simple-SprayBottle-None-GarbageCan-409/trial_T20190908_054742_818364,baseline,23.19115161895752,161,0.75,0.1875,6,8,30,0
look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,baseline,29.035009145736694,240,0.0,0.0,0,8,30,0
pick_clean_then_place_in_recep-Ladle-None-CounterTop-14/trial_T20190909_113844_191747,baseline,26.21069312095642,159,0.875,0.109375,7,8,30,0
pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-406/trial_T20190908_122858_883968,baseline,5.061132192611694,40,1.0,0.0,8,8,30,0
pick_cool_then_place_in_recep-WineBottle-None-DiningTable-17/trial_T20190908_024426_412044,baseline,36.02667570114136,222,0.375,0.234375,3,8,30,0
pick_cool_then_place_in_recep-Pot-None-DiningTable-21/trial_T20190909_004531_429065,baseline,31.356690883636475,240,0.0,0.0,0,8,30,0
pick_and_place_simple-Candle-None-Cart-401/trial_T20190909_081908_677973,baseline,24.820902109146118,170,0.5,0.25,4,8,30,0
pick_two_obj_and_place-SprayBottle-None-Toilet-402/trial_T20190910_222914_814642,baseline,29.256429433822632,240,0.0,0.0,0,8,30,0
pick_and_place_simple-WineBottle-None-Shelf-7/trial_T20190907_200154_378982,baseline,32.25329327583313,231,0.375,0.234375,3,8,30,0
pick_cool_then_place_in_recep-Tomato-None-CounterTop-12/trial_T20190909_063754_216554,baseline,35.47855091094971,240,0.0,0.0,0,8,30,0
pick_heat_then_place_in_recep-Mug-None-SideTable-21/trial_T20190909_090729_088825,baseline,28.476712226867676,204,0.25,0.1875,2,8,30,0
pick_cool_then_place_in_recep-Cup-None-SideTable-21/trial_T20190906_192823_237997,baseline,26.860129594802856,166,0.5,0.25,4,8,30,0
pick_two_obj_and_place-SprayBottle-None-Cabinet-407/trial_T20190907_144556_144188,baseline,28.282159090042114,240,0.0,0.0,0,8,30,0
pick_heat_then_place_in_recep-Mug-None-CoffeeMachine-1/trial_T20190907_222640_487432,baseline,31.93234348297119,186,0.5,0.25,4,8,30,0
pick_cool_then_place_in_recep-Mug-None-CoffeeMachine-16/trial_T20190908_184242_348366,baseline,40.537790060043335,240,0.0,0.0,0,8,30,0
pick_cool_then_place_in_recep-Tomato-None-CounterTop-12/trial_T20190909_063844_274181,baseline,32.79088354110718,226,0.375,0.234375,3,8,30,0
pick_heat_then_place_in_recep-Tomato-None-Fridge-15/trial_T20190909_020200_054379,baseline,26.66293501853943,180,0.875,0.109375,7,8,30,0
pick_cool_then_place_in_recep-Lettuce-None-CounterTop-11/trial_T20190908_222555_651605,baseline,31.343198776245117,239,0.125,0.109375,1,8,30,0
pick_two_obj_and_place-Box-None-CoffeeTable-213/trial_T20190906_200927_069627,baseline,30.10388159751892,240,0.0,0.0,0,8,30,0
pick_two_obj_and_place-Pan-None-CounterTop-14/trial_T20190907_012519_974044,baseline,29.957282066345215,240,0.0,0.0,0,8,30,0
pick_cool_then_place_in_recep-Plate-None-Cabinet-27/trial_T20190906_173120_350651,baseline,28.53513765335083,174,0.375,0.234375,3,8,30,0
pick_and_place_simple-Egg-None-Microwave-4/trial_T20190906_234406_356490,baseline,25.503113508224487,166,0.625,0.234375,5,8,30,0
pick_two_obj_and_place-Spatula-None-Drawer-13/trial_T20190908_183331_203888,baseline,38.188801765441895,240,0.0,0.0,0,8,30,0
pick_and_place_simple-Watch-None-SideTable-222/trial_T20190909_051813_197569,baseline,23.448755741119385,162,0.875,0.109375,7,8,30,0
pick_clean_then_place_in_recep-Spatula-None-DiningTable-4/trial_T20190909_002804_564168,baseline,27.098081827163696,141,0.75,0.1875,6,8,30,0
pick_cool_then_place_in_recep-Bowl-None-Cabinet-20/trial_T20190909_112912_154874,baseline,31.013700008392334,219,0.375,0.234375,3,8,30,0
pick_and_place_simple-SprayBottle-None-Cabinet-413/trial_T20190907_114931_692464,baseline,21.29487180709839,142,1.0,0.0,8,8,30,0
pick_cool_then_place_in_recep-Bread-None-CounterTop-7/trial_T20190909_045605_307949,baseline,31.42394781112671,229,0.125,0.109375,1,8,30,0
look_at_obj_in_light-Pillow-None-DeskLamp-323/trial_T20190908_053153_077977,baseline,6.521393060684204,40,1.0,0.0,8,8,30,0
pick_two_obj_and_place-ToiletPaper-None-Toilet-408/trial_T20190909_080302_174780,baseline,28.17188549041748,240,0.0,0.0,0,8,30,0
pick_and_place_simple-Bowl-None-CoffeeTable-201/trial_T20190907_171639_045329,baseline,8.967400550842285,68,1.0,0.0,8,8,30,0
pick_cool_then_place_in_recep-Tomato-None-GarbageCan-6/trial_T20190909_082934_483899,baseline,25.315932512283325,111,0.875,0.109375,7,8,30,0
pick_and_place_simple-RemoteControl-None-Sofa-207/trial_T20190909_153609_373481,baseline,4.87411904335022,32,1.0,0.0,8,8,30,0
look_at_obj_in_light-CD-None-DeskLamp-314/trial_T20190907_114323_767231,baseline,24.115111589431763,209,0.375,0.234375,3,8,30,0
pick_clean_then_place_in_recep-Plate-None-Fridge-5/trial_T20190909_112854_740612,baseline,32.20718693733215,187,0.875,0.109375,7,8,30,0
pick_clean_then_place_in_recep-Fork-None-Drawer-8/trial_T20190908_132152_999725,baseline,32.90499830245972,198,0.5,0.25,4,8,30,0
pick_and_place_simple-Vase-None-CoffeeTable-207/trial_T20190909_091246_807206,baseline,20.583423137664795,118,0.875,0.109375,7,8,30,0
pick_two_obj_and_place-Knife-None-Drawer-18/trial_T20190907_065232_689984,baseline,33.288724422454834,238,0.125,0.109375,1,8,30,0
look_at_obj_in_light-Vase-None-DeskLamp-303/trial_T20190907_150418_457594,baseline,24.881733179092407,116,0.625,0.234375,5,8,30,0
pick_and_place_simple-Tomato-None-Microwave-13/trial_T20190908_124829_632660,baseline,36.66213059425354,240,0.0,0.0,0,8,30,0
pick_and_place_simple-Book-None-SideTable-329/trial_T20190908_050633_745514,baseline,10.468693733215332,91,1.0,0.0,8,8,30,0
look_at_obj_in_light-Statue-None-DeskLamp-216/trial_T20190909_193045_208933,baseline,19.573883056640625,80,1.0,0.0,8,8,30,0
pick_heat_then_place_in_recep-Mug-None-Cabinet-26/trial_T20190909_062333_424779,baseline,21.25357174873352,78,0.875,0.109375,7,8,30,0
pick_clean_then_place_in_recep-ButterKnife-None-CounterTop-8/trial_T20190909_105559_983897,baseline,34.43507504463196,240,0.0,0.0,0,8,30,0
pick_two_obj_and_place-SoapBar-None-GarbageCan-418/trial_T20190909_055538_380023,gated,26.520811557769775,240,0.0,0.0,0,8,30,0
look_at_obj_in_light-Pillow-None-DeskLamp-302/trial_T20190909_150916_682139,gated,21.277065992355347,108,0.75,0.1875,6,8,30,0
pick_cool_then_place_in_recep-Lettuce-None-CounterTop-1/trial_T20190908_042713_075616,gated,29.485228061676025,189,0.625,0.234375,5,8,30,0
pick_two_obj_and_place-Vase-None-Desk-204/trial_T20190906_181531_703961,gated,27.458873748779297,240,0.0,0.0,0,8,30,0
pick_clean_then_place_in_recep-Ladle-None-DiningTable-4/trial_T20190909_164840_568811,gated,29.846811771392822,186,0.625,0.234375,5,8,30,0
pick_and_place_simple-Box-None-Dresser-224/trial_T20190907_164104_229696,gated,29.878682851791382,224,0.125,0.109375,1,8,30,0
pick_cool_then_place_in_recep-Apple-None-GarbageCan-2/trial_T20190906_195943_081289,gated,31.44892191886902,231,0.25,0.1875,2,8,30,0
pick_heat_then_place_in_recep-Cup-None-Cabinet-22/trial_T20190907_173251_960848,gated,35.79782056808472,240,0.0,0.0,0,8,30,0
pick_clean_then_place_in_recep-ButterKnife-None-DiningTable-16/trial_T20190909_114508_617301,gated,17.413447618484497,80,0.0,0.0,0,8,30,1
pick_heat_then_place_in_recep-Potato-None-Fridge-11/trial_T20190909_011341_436523,gated,28.357856512069702,176,0.5,0.25,4,8,30,0
look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,gated,28.89682936668396,190,0.625,0.234375,5,8,30,0
pick_two_obj_and_place-SprayBottle-None-GarbageCan-419/trial_T20190908_164236_518264,gated,25.57842445373535,195,0.5,0.25,4,8,30,0
pick_two_obj_and_place-RemoteControl-None-Ottoman-203/trial_T20190906_182952_858723,gated,9.065414667129517,80,0.0,0.0,0,8,30,1
pick_heat_then_place_in_recep-Egg-None-CounterTop-2/trial_T20190908_122951_021026,gated,32.84958457946777,235,0.125,0.109375,1,8,30,0
pick_and_place_simple-Pencil-None-Dresser-330/trial_T20190909_071128_012892,gated,10.02829885482788,80,0.0,0.0,0,8,30,1
pick_heat_then_place_in_recep-Apple-None-DiningTable-26/trial_T20190907_060234_011675,gated,29.23202085494995,195,0.5,0.25,4,8,30,0
pick_two_obj_and_place-Newspaper-None-Drawer-224/trial_T20190911_101248_326533,gated,31.26000690460205,240,0.0,0.0,0,8,30,0
pick_and_place_simple-Candle-None-Toilet-407/trial_T20190909_055248_059513,gated,8.505568981170654,80,0.0,0.0,0,8,30,1
pick_heat_then_place_in_recep-Tomato-None-Fridge-24/trial_T20190908_033721_967359,gated,34.01934742927551,240,0.0,0.0,0,8,30,0
pick_and_place_simple-CellPhone-None-Bed-324/trial_T20190907_233817_198528,gated,9.159013748168945,80,0.0,0.0,0,8,30,1
pick_clean_then_place_in_recep-Lettuce-None-Fridge-19/trial_T20190908_100138_446072,gated,31.485053300857544,149,0.75,0.1875,6,8,30,0
pick_two_obj_and_place-SoapBar-None-GarbageCan-418/trial_T20190909_055649_717880,gated,26.132784128189087,240,0.0,0.0,0,8,30,0
pick_and_place_simple-SoapBottle-None-CounterTop-417/trial_T20190910_112922_368384,gated,23.14879584312439,139,0.75,0.1875,6,8,30,0
pick_cool_then_place_in_recep-Pan-None-StoveBurner-18/trial_T20190906_181023_216915,gated,33.894248723983765,240,0.0,0.0,0,8,30,0
pick_and_place_simple-SprayBottle-None-Toilet-415/trial_T20190909_075955_678702,gated,10.566741704940796,90,1.0,0.0,8,8,30,0
pick_and_place_simple-Pencil-None-Desk-310/trial_T20190909_113054_894334,gated,8.287468910217285,53,1.0,0.0,8,8,30,0
pick_cool_then_place_in_recep-Plate-None-CounterTop-1/trial_T20190906_205324_559361,gated,30.985146045684814,216,0.625,0.234375,5,8,30,0
pick_clean_then_place_in_recep-ButterKnife-None-Drawer-8/trial_T20190909_124425_112757,gated,33.693002700805664,233,0.125,0.109375,1,8,30,0
pick_and_place_simple-RemoteControl-None-ArmChair-230/trial_T20190909_021000_274398,gated,5.520136117935181,32,1.0,0.0,8,8,30,0
pick_two_obj_and_place-CreditCard-None-Safe-323/trial_T20190907_001129_214240,gated,28.816434860229492,240,0.0,0.0,0,8,30,0
pick_clean_then_place_in_recep-ButterKnife-None-Drawer-2/trial_T20190908_121728_511866,gated,31.588237524032593,194,0.25,0.1875,2,8,30,0
pick_two_obj_and_place-CD-None-Drawer-304/trial_T20190907_230232_832893,gated,24.028056621551514,170,0.5,0.25,4,8,30,0
pick_clean_then_place_in_recep-Tomato-None-CounterTop-25/trial_T20190909_012550_586494,gated,29.747989416122437,172,0.375,0.234375,3,8,30,0
pick_clean_then_place_in_recep-DishSponge-None-CounterTop-403/trial_T20190908_144357_621068,gated,27.176189422607422,199,0.375,0.234375,3,8,30,0
pick_cool_then_place_in_recep-Tomato-None-Microwave-18/trial_T20190909_012524_159092,gated,34.47954082489014,233,0.125,0.109375,1,8,30,0
pick_two_obj_and_place-CreditCard-None-Dresser-311/trial_T20190907_201917_045715,gated,26.033178567886353,222,0.125,0.109375,1,8,30,0
pick_heat_then_place_in_recep-Tomato-None-Fridge-23/trial_T20190909_082320_103350,gated,24.452375411987305,134,0.875,0.109375,7,8,30,0
