K,max_prod_K,mean_prod_K,max_unique_obs_K,mean_unique_obs_K,max_unique_action_K,min_repeat_K,mean_repeat_K,max_repeat_K,nav_fraction_K,task_id,label,reward_var,task_type,unique_action_ratio,unique_prefix_ratio,action_bigram_jaccard_mean,prefix_edit_distance_mean,obs_unique_ratio,termination_fraction,action_entropy
20,8,6.375,19,18.625,19,0.050000000000000044,0.19375000000000003,0.4,0.68125,pick_two_obj_and_place-Newspaper-None-Drawer-224/trial_T20190911_101248_326533,all_fail,0.0,pick_two_obj_and_place,0.75,0.75,0.39013192121887774,0.33571428571428574,0.75,0.0,0.8333333333333334
10,4,2.25,10,8.625,10,0.0,0.2375,0.4,0.775,pick_heat_then_place_in_recep-Apple-None-DiningTable-26/trial_T20190907_060234_011675,mixed,0.1875,pick_heat_then_place_in_recep,0.375,0.375,0.34319727891156465,0.25357142857142856,0.375,0.0,0.4685463540765222
15,5,4.0,15,12.75,15,0.0,0.20833333333333331,0.4666666666666667,0.7333333333333333,pick_heat_then_place_in_recep-Apple-None-DiningTable-26/trial_T20190907_060234_011675,mixed,0.1875,pick_heat_then_place_in_recep,0.5,0.625,0.5640530135499175,0.44761904761904764,0.625,0.0,0.5833333333333334
20,7,4.625,20,15.5,19,0.050000000000000044,0.22812500000000002,0.4,0.75,pick_heat_then_place_in_recep-Apple-None-DiningTable-26/trial_T20190907_060234_011675,mixed,0.1875,pick_heat_then_place_in_recep,0.625,0.625,0.583892966639272,0.5267857142857143,0.625,0.375,0.7185463540765221
10,4,3.875,10,10.0,9,0.09999999999999998,0.12499999999999999,0.30000000000000004,0.6125,pick_heat_then_place_in_recep-Tomato-None-Fridge-24/trial_T20190908_033721_967359,mixed,0.109375,pick_heat_then_place_in_recep,0.375,0.5,0.3068181818181818,0.2642857142857143,0.375,0.0,0.4685463540765222
15,6,4.875,15,13.75,13,0.1333333333333333,0.2833333333333333,0.5333333333333333,0.675,pick_heat_then_place_in_recep-Tomato-None-Fridge-24/trial_T20190908_033721_967359,mixed,0.109375,pick_heat_then_place_in_recep,0.5,0.625,0.31568627450980397,0.28095238095238095,0.5,0.0,0.5833333333333334
20,8,5.125,19,15.875,18,0.09999999999999998,0.425,0.65,0.74375,pick_heat_then_place_in_recep-Tomato-None-Fridge-24/trial_T20190908_033721_967359,mixed,0.109375,pick_heat_then_place_in_recep,0.625,0.75,0.35930195724361447,0.325,0.75,0.0,0.6666666666666666
10,4,4.0,10,10.0,10,0.0,0.0,0.0,0.6,pick_and_place_simple-Pencil-None-Dresser-330/trial_T20190909_071128_012892,mixed,0.234375,pick_and_place_simple,0.125,0.125,0.0,0.0,0.125,0.0,-0.0
15,7,6.0,15,15.0,15,0.0,0.008333333333333331,0.06666666666666665,0.6,pick_and_place_simple-Pencil-None-Dresser-330/trial_T20190909_071128_012892,mixed,0.234375,pick_and_place_simple,0.5,0.5,0.22321428571428567,0.12619047619047621,0.5,0.0,0.5162649802317995
20,12,8.125,20,19.0,20,0.0,0.06250000000000001,0.30000000000000004,0.5859872611464968,pick_and_place_simple-Pencil-None-Dresser-330/trial_T20190909_071128_012892,mixed,0.234375,pick_and_place_simple,0.75,0.75,0.4176144277852352,0.30357142857142855,0.75,0.0,0.8333333333333334
10,5,5.0,10,10.0,10,0.0,0.0,0.0,0.5,pick_and_place_simple-Candle-None-Toilet-407/trial_T20190909_055248_059513,all_succeed,0.0,pick_and_place_simple,0.125,0.125,0.0,0.0,0.125,0.0,-0.0
15,5,5.0,12,12.0,12,0.0,0.0,0.0,0.5833333333333334,pick_and_place_simple-Candle-None-Toilet-407/trial_T20190909_055248_059513,all_succeed,0.0,pick_and_place_simple,0.125,0.125,0.0,0.0,0.125,1.0,-0.0
20,5,5.0,12,12.0,12,0.0,0.0,0.0,0.5833333333333334,pick_and_place_simple-Candle-None-Toilet-407/trial_T20190909_055248_059513,all_succeed,0.0,pick_and_place_simple,0.125,0.125,0.0,0.0,0.125,1.0,-0.0
10,4,2.875,10,9.875,10,0.0,0.024999999999999994,0.19999999999999996,0.7125,pick_clean_then_place_in_recep-Lettuce-None-Fridge-19/trial_T20190908_100138_446072,mixed,0.1875,pick_clean_then_place_in_recep,0.625,0.625,0.647580360815655,0.5857142857142857,0.625,0.0,0.6666666666666666
15,8,4.625,15,13.375,15,0.0,0.05208333333333334,0.33333333333333337,0.6636363636363637,pick_clean_then_place_in_recep-Lettuce-None-Fridge-19/trial_T20190908_100138_446072,mixed,0.1875,pick_clean_then_place_in_recep,0.375,0.625,0.662242289628402,0.6166666666666666,0.375,0.375,0.4685463540765222
20,13,6.75,20,15.875,20,0.0,0.07291666666666667,0.5,0.6,pick_clean_then_place_in_recep-Lettuce-None-Fridge-19/trial_T20190908_100138_446072,mixed,0.1875,pick_clean_then_place_in_recep,0.5,0.75,0.6713838237127296,0.6428571428571429,0.5,0.375,0.603759374819711
10,5,4.75,10,10.0,10,0.0,0.0,0.0,0.525,pick_and_place_simple-CellPhone-None-Bed-324/trial_T20190907_233817_198528,all_succeed,0.0,pick_and_place_simple,0.25,0.25,0.15584415584415584,0.08571428571428573,0.25,0.0,0.2704260414863776
15,7,6.5,15,15.0,15,0.0,0.0,0.0,0.5666666666666667,pick_and_place_simple-CellPhone-None-Bed-324/trial_T20190907_233817_198528,all_succeed,0.0,pick_and_place_simple,0.25,0.25,0.2571428571428571,0.19999999999999998,0.25,0.0,0.2704260414863776
20,10,9.25,20,20.0,20,0.0,0.0,0.0,0.5375,pick_and_place_simple-CellPhone-None-Bed-324/trial_T20190907_233817_198528,all_succeed,0.0,pick_and_place_simple,0.25,0.375,0.2503525046382189,0.1982142857142857,0.375,0.0,0.1811881477331988
10,5,3.75,10,10.0,10,0.0,0.0,0.0,0.625,pick_cool_then_place_in_recep-Pan-None-StoveBurner-18/trial_T20190906_181023_216915,all_fail,0.0,pick_cool_then_place_in_recep,0.625,0.625,0.629550281651122,0.5928571428571429,0.625,0.0,0.7185463540765221
15,7,6.0,15,15.0,15,0.0,0.0,0.0,0.6,pick_cool_then_place_in_recep-Pan-None-StoveBurner-18/trial_T20190906_181023_216915,all_fail,0.0,pick_cool_then_place_in_recep,0.75,0.75,0.5689107237791449,0.6238095238095237,0.75,0.0,0.8018796874098554
20,8,7.625,20,20.0,20,0.0,0.0,0.0,0.61875,pick_cool_then_place_in_recep-Pan-None-StoveBurner-18/trial_T20190906_181023_216915,all_fail,0.0,pick_cool_then_place_in_recep,1.0,1.0,0.571403314107967,0.6732142857142858,1.0,0.0,1.0
10,5,4.375,10,9.875,10,0.0,0.024999999999999994,0.09999999999999998,0.5625,pick_two_obj_and_place-SoapBar-None-GarbageCan-418/trial_T20190909_055649_717880,all_fail,0.0,pick_two_obj_and_place,0.5,0.5,0.5186163101604279,0.4857142857142857,0.5,0.0,0.603759374819711
15,7,5.875,15,14.125,14,0.06666666666666665,0.14166666666666666,0.33333333333333337,0.5803571428571429,pick_two_obj_and_place-SoapBar-None-GarbageCan-418/trial_T20190909_055649_717880,all_fail,0.0,pick_two_obj_and_place,0.625,0.625,0.5979252107541582,0.5547619047619048,0.625,0.0,0.7185463540765221
20,11,8.625,18,16.375,16,0.19999999999999996,0.25625,0.44999999999999996,0.5071428571428571,pick_two_obj_and_place-SoapBar-None-GarbageCan-418/trial_T20190909_055649_717880,all_fail,0.0,pick_two_obj_and_place,0.5,1.0,0.7054014692776965,0.6285714285714287,0.75,0.0,0.6352130207431889
10,5,3.375,10,10.0,9,0.09999999999999998,0.16249999999999998,0.30000000000000004,0.6625,pick_and_place_simple-SoapBottle-None-CounterTop-417/trial_T20190910_112922_368384,mixed,0.1875,pick_and_place_simple,0.75,0.875,0.40324675324675324,0.2285714285714286,0.75,0.0,0.8333333333333334
15,5,4.375,15,13.375,14,0.06666666666666665,0.19809981684981687,0.4666666666666667,0.6875,pick_and_place_simple-SoapBottle-None-CounterTop-417/trial_T20190910_112922_368384,mixed,0.1875,pick_and_place_simple,0.75,1.0,0.5926313168808193,0.4261904761904762,0.75,0.375,0.8018796874098554
20,5,4.625,18,13.75,17,0.08333333333333337,0.24407021158665895,0.6,0.6967213114754098,pick_and_place_simple-SoapBottle-None-CounterTop-417/trial_T20190910_112922_368384,mixed,0.1875,pick_and_place_simple,0.375,1.0,0.5619625512148179,0.46964285714285714,0.375,0.75,0.353759374819711
10,5,4.125,10,10.0,10,0.0,0.0,0.0,0.5875,pick_cool_then_place_in_recep-Plate-None-CounterTop-1/trial_T20190906_205324_559361,mixed,0.109375,pick_cool_then_place_in_recep,0.375,0.375,0.3373949579831933,0.2642857142857143,0.375,0.0,0.353759374819711
15,7,7.0,15,15.0,15,0.0,0.0,0.0,0.5333333333333333,pick_cool_then_place_in_recep-Plate-None-CounterTop-1/trial_T20190906_205324_559361,mixed,0.109375,pick_cool_then_place_in_recep,0.375,0.375,0.34497459062676455,0.2952380952380952,0.375,0.0,0.353759374819711
20,10,9.125,20,20.0,20,0.0,0.0,0.0,0.54375,pick_cool_then_place_in_recep-Plate-None-CounterTop-1/trial_T20190906_205324_559361,mixed,0.109375,pick_cool_then_place_in_recep,0.375,0.375,0.2479120879120879,0.275,0.375,0.0,0.353759374819711
10,6,4.5,10,10.0,10,0.0,0.024999999999999994,0.19999999999999996,0.55,pick_clean_then_place_in_recep-ButterKnife-None-Drawer-8/trial_T20190909_124425_112757,mixed,0.234375,pick_clean_then_place_in_recep,0.625,0.625,0.719213139801375,0.6142857142857142,0.625,0.0,0.7185463540765221
15,11,6.75,15,13.875,15,0.0,0.07756410256410255,0.4666666666666667,0.5344827586206896,pick_clean_then_place_in_recep-ButterKnife-None-Drawer-8/trial_T20190909_124425_112757,mixed,0.234375,pick_clean_then_place_in_recep,0.75,0.875,0.7839243365330322,0.7000000000000001,0.625,0.25,0.8333333333333334
20,16,8.75,20,17.0,20,0.0,0.10048076923076922,0.6,0.5205479452054794,pick_clean_then_place_in_recep-ButterKnife-None-Drawer-8/trial_T20190909_124425_112757,mixed,0.234375,pick_clean_then_place_in_recep,0.875,0.875,0.7874646108286661,0.7535714285714287,0.875,0.25,0.9166666666666666
10,5,5.0,10,10.0,10,0.0,0.0,0.0,0.5,pick_and_place_simple-SprayBottle-None-Toilet-415/trial_T20190909_075955_678702,all_succeed,0.0,pick_and_place_simple,0.125,0.125,0.0,0.0,0.125,0.0,-0.0
15,5,5.0,12,12.0,12,0.0,0.0,0.0,0.5833333333333334,pick_and_place_simple-SprayBottle-None-Toilet-415/trial_T20190909_075955_678702,all_succeed,0.0,pick_and_place_simple,0.125,0.125,0.0,0.0,0.125,1.0,-0.0
20,5,5.0,12,12.0,12,0.0,0.0,0.0,0.5833333333333334,pick_and_place_simple-SprayBottle-None-Toilet-415/trial_T20190909_075955_678702,all_succeed,0.0,pick_and_place_simple,0.125,0.125,0.0,0.0,0.125,1.0,-0.0
10,5,2.75,10,6.25,10,0.0,0.0,0.0,0.56,pick_and_place_simple-Pencil-None-Desk-310/trial_T20190909_113054_894334,all_succeed,0.0,pick_and_place_simple,0.25,0.25,0.32142857142857145,0.42857142857142855,0.25,0.75,0.2704260414863776
15,5,2.75,11,6.5,11,0.0,0.0,0.0,0.5769230769230769,pick_and_place_simple-Pencil-None-Desk-310/trial_T20190909_113054_894334,all_succeed,0.0,pick_and_place_simple,0.125,0.25,0.21428571428571427,0.3142857142857142,0.125,1.0,-0.0
20,5,2.75,11,6.5,11,0.0,0.0,0.0,0.5769230769230769,pick_and_place_simple-Pencil-None-Desk-310/trial_T20190909_113054_894334,all_succeed,0.0,pick_and_place_simple,0.125,0.25,0.21428571428571427,0.23571428571428574,0.125,1.0,-0.0
10,6,5.125,10,9.875,10,0.0,0.024999999999999994,0.09999999999999998,0.4875,pick_two_obj_and_place-CreditCard-None-Safe-323/trial_T20190907_001129_214240,mixed,0.1875,pick_two_obj_and_place,0.375,0.5,0.5205548128342247,0.5214285714285715,0.5,0.0,0.43293164689846614
15,11,7.625,15,14.375,14,0.06666666666666665,0.11666666666666665,0.4,0.4830508474576271,pick_two_obj_and_place-CreditCard-None-Safe-323/trial_T20190907_001129_214240,mixed,0.1875,pick_two_obj_and_place,0.5,0.625,0.5389153439153439,0.5190476190476191,0.625,0.0,0.5833333333333334
20,16,10.75,20,18.25,19,0.050000000000000044,0.16250000000000003,0.5,0.45222929936305734,pick_two_obj_and_place-CreditCard-None-Safe-323/trial_T20190907_001129_214240,mixed,0.1875,pick_two_obj_and_place,1.0,1.0,0.6625756653402074,0.6124999999999999,1.0,0.0,1.0
10,4,3.875,10,9.625,10,0.0,0.0,0.0,0.5974025974025974,pick_clean_then_place_in_recep-ButterKnife-None-Drawer-2/trial_T20190908_121728_511866,mixed,0.234375,pick_clean_then_place_in_recep,0.25,0.25,0.234375,0.25,0.25,0.125,0.1811881477331988
15,6,5.625,15,14.0,15,0.0,0.0,0.0,0.5982142857142857,pick_clean_then_place_in_recep-ButterKnife-None-Drawer-2/trial_T20190908_121728_511866,mixed,0.234375,pick_clean_then_place_in_recep,0.25,0.25,0.23809523809523808,0.25,0.25,0.125,0.1811881477331988
20,9,7.5,20,18.375,20,0.0,0.0,0.0,0.5918367346938775,pick_clean_then_place_in_recep-ButterKnife-None-Drawer-2/trial_T20190908_121728_511866,mixed,0.234375,pick_clean_then_place_in_recep,0.375,0.375,0.3134352603917821,0.2928571428571428,0.375,0.125,0.353759374819711
10,1,1.0,5,4.125,5,0.0,0.0,0.0,0.7575757575757576,pick_and_place_simple-RemoteControl-None-ArmChair-230/trial_T20190909_021000_274398,all_succeed,0.0,pick_and_place_simple,0.125,0.25,0.15625,0.05,0.125,1.0,-0.0
15,1,1.0,5,4.125,5,0.0,0.0,0.0,0.7575757575757576,pick_and_place_simple-RemoteControl-None-ArmChair-230/trial_T20190909_021000_274398,all_succeed,0.0,pick_and_place_simple,0.125,0.25,0.15625,0.03333333333333333,0.125,1.0,-0.0
20,1,1.0,5,4.125,5,0.0,0.0,0.0,0.7575757575757576,pick_and_place_simple-RemoteControl-None-ArmChair-230/trial_T20190909_021000_274398,all_succeed,0.0,pick_and_place_simple,0.125,0.25,0.15625,0.025,0.125,1.0,-0.0
