rule,K,d_low,TP,FP,prec,rec,f1,savings,n_params,t_low,t_high,d_high
R3,5,0.13999999999999999,22,12,0.6470588235294118,0.5641025641025641,0.6027397260273972,0.18333333333333332,2,,0.5,
R3,5,0.13999999999999999,22,12,0.6470588235294118,0.5641025641025641,0.6027397260273972,0.18333333333333332,2,,0.55,
R3,5,0.13999999999999999,22,12,0.6470588235294118,0.5641025641025641,0.6027397260273972,0.18333333333333332,2,,0.6,
R3,5,0.13999999999999999,21,12,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.175,2,,0.65,
R3,5,0.13999999999999999,21,12,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.175,2,,0.7,
R3,5,0.13999999999999999,21,12,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.175,2,,0.75,
R3,5,0.13999999999999999,20,12,0.625,0.5128205128205128,0.5633802816901409,0.16666666666666666,2,,0.8,
R3,5,0.13999999999999999,20,12,0.625,0.5128205128205128,0.5633802816901409,0.16666666666666666,2,,0.8500000000000001,
R3,5,0.13999999999999999,20,12,0.625,0.5128205128205128,0.5633802816901409,0.16666666666666666,2,,0.9,
R3,5,0.13999999999999999,20,12,0.625,0.5128205128205128,0.5633802816901409,0.16666666666666666,2,,0.95,
R3,5,0.13999999999999999,20,12,0.625,0.5128205128205128,0.5633802816901409,0.16666666666666666,2,,1.0,
R3,5,0.15999999999999998,22,15,0.5945945945945946,0.5641025641025641,0.5789473684210528,0.18333333333333332,2,,0.5,
R3,5,0.15999999999999998,22,15,0.5945945945945946,0.5641025641025641,0.5789473684210528,0.18333333333333332,2,,0.55,
R3,5,0.15999999999999998,22,15,0.5945945945945946,0.5641025641025641,0.5789473684210528,0.18333333333333332,2,,0.6,
R3,5,0.15999999999999998,21,15,0.5833333333333334,0.5384615384615384,0.5599999999999999,0.175,2,,0.65,
R3,5,0.15999999999999998,21,15,0.5833333333333334,0.5384615384615384,0.5599999999999999,0.175,2,,0.7,
R3,5,0.15999999999999998,21,15,0.5833333333333334,0.5384615384615384,0.5599999999999999,0.175,2,,0.75,
